"Time","food stamps"
"2019-09-29","30"
"2019-10-06","30"
"2019-10-13","23"
"2019-10-20","43"
"2019-10-27","29"
"2019-11-03","37"
"2019-11-10","40"
"2019-11-17","27"
"2019-11-24","14"
"2019-12-01","57"
"2019-12-08","32"
"2019-12-15","23"
"2019-12-22","0"
"2019-12-29","38"
"2020-01-05","40"
"2020-01-12","32"
"2020-01-19","38"
"2020-01-26","24"
"2020-02-02","31"
"2020-02-09","33"
"2020-02-16","32"
"2020-02-23","32"
"2020-03-01","18"
"2020-03-08","37"
"2020-03-15","70"
"2020-03-22","69"
"2020-03-29","76"
"2020-04-05","100"
"2020-04-12","87"
"2020-04-19","64"
"2020-04-26","68"
"2020-05-03","61"
"2020-05-10","63"
"2020-05-17","68"
"2020-05-24","49"
"2020-05-31","36"
"2020-06-07","51"
"2020-06-14","41"
"2020-06-21","31"
"2020-06-28","44"
"2020-07-05","41"
"2020-07-12","43"
"2020-07-19","35"
"2020-07-26","34"
"2020-08-02","33"
"2020-08-09","55"
"2020-08-16","42"
"2020-08-23","28"
"2020-08-30","32"
"2020-09-06","33"
"2020-09-13","32"
"2020-09-20","36"
"2020-09-27","27"
