Category: All categories

Week,Food bank: (Reno NV)
2022-05-01,44
2022-05-08,0
2022-05-15,38
2022-05-22,50
2022-05-29,39
2022-06-05,62
2022-06-12,36
2022-06-19,0
2022-06-26,42
2022-07-03,0
2022-07-10,0
2022-07-17,46
2022-07-24,43
2022-07-31,64
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,56
2022-09-04,0
2022-09-11,0
2022-09-18,44
2022-09-25,59
2022-10-02,49
2022-10-09,50
2022-10-16,37
2022-10-23,53
2022-10-30,97
2022-11-06,40
2022-11-13,64
2022-11-20,0
2022-11-27,57
2022-12-04,50
2022-12-11,38
2022-12-18,41
2022-12-25,49
2023-01-01,0
2023-01-08,39
2023-01-15,54
2023-01-22,0
2023-01-29,52
2023-02-05,44
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,51
2023-03-12,46
2023-03-19,59
2023-03-26,59
2023-04-02,58
2023-04-09,0
2023-04-16,51
2023-04-23,44
2023-04-30,55
2023-05-07,0
2023-05-14,54
2023-05-21,55
2023-05-28,82
2023-06-04,0
2023-06-11,0
2023-06-18,68
2023-06-25,0
2023-07-02,0
2023-07-09,40
2023-07-16,66
2023-07-23,47
2023-07-30,62
2023-08-06,43
2023-08-13,77
2023-08-20,41
2023-08-27,0
2023-09-03,48
2023-09-10,43
2023-09-17,47
2023-09-24,59
2023-10-01,0
2023-10-08,51
2023-10-15,0
2023-10-22,44
2023-10-29,67
2023-11-05,60
2023-11-12,64
2023-11-19,58
2023-11-26,39
2023-12-03,60
2023-12-10,59
2023-12-17,0
2023-12-24,65
2023-12-31,100
2024-01-07,48
2024-01-14,52
2024-01-21,0
2024-01-28,44
2024-02-04,42
2024-02-11,0
2024-02-18,41
2024-02-25,0
2024-03-03,41
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,57
2024-04-21,56
2024-04-28,47
2024-05-05,59
2024-05-12,53
2024-05-19,0
2024-05-26,0
2024-06-02,45
2024-06-09,0
2024-06-16,0
2024-06-23,56
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,49
2024-07-28,0
2024-08-04,44
2024-08-11,54
2024-08-18,0
2024-08-25,49
2024-09-01,0
2024-09-08,0
2024-09-15,45
2024-09-22,0
2024-09-29,65
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,44
2024-11-03,40
2024-11-10,0
2024-11-17,0
2024-11-24,79
2024-12-01,46
2024-12-08,55
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,47
2025-01-26,58
2025-02-02,41
2025-02-09,0
2025-02-16,43
2025-02-23,0
2025-03-02,51
2025-03-09,0
2025-03-16,0
2025-03-23,58
2025-03-30,0
2025-04-06,0
2025-04-13,59
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
