Category: All categories

Week,Food bank: (Medford-Klamath Falls OR)
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,74
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,60
2022-10-02,0
2022-10-09,55
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,84
2022-11-13,57
2022-11-20,0
2022-11-27,69
2022-12-04,0
2022-12-11,56
2022-12-18,0
2022-12-25,0
2023-01-01,77
2023-01-08,0
2023-01-15,0
2023-01-22,53
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,75
2023-03-19,58
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,58
2023-05-14,0
2023-05-21,55
2023-05-28,0
2023-06-04,64
2023-06-11,0
2023-06-18,65
2023-06-25,69
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,66
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,74
2023-08-27,75
2023-09-03,0
2023-09-10,0
2023-09-17,95
2023-09-24,65
2023-10-01,0
2023-10-08,71
2023-10-15,63
2023-10-22,0
2023-10-29,60
2023-11-05,76
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,77
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,59
2024-01-28,0
2024-02-04,68
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,69
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,88
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,82
2024-09-15,0
2024-09-22,76
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,100
2024-11-24,74
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,79
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,64
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,73
2025-04-20,70
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
