"Time","food bank near me"
"2019-09-29","17"
"2019-10-06","9"
"2019-10-13","12"
"2019-10-20","19"
"2019-10-27","23"
"2019-11-03","19"
"2019-11-10","17"
"2019-11-17","21"
"2019-11-24","22"
"2019-12-01","21"
"2019-12-08","17"
"2019-12-15","18"
"2019-12-22","21"
"2019-12-29","12"
"2020-01-05","17"
"2020-01-12","17"
"2020-01-19","17"
"2020-01-26","14"
"2020-02-02","15"
"2020-02-09","13"
"2020-02-16","20"
"2020-02-23","12"
"2020-03-01","13"
"2020-03-08","15"
"2020-03-15","60"
"2020-03-22","87"
"2020-03-29","52"
"2020-04-05","95"
"2020-04-12","100"
"2020-04-19","74"
"2020-04-26","50"
"2020-05-03","41"
"2020-05-10","40"
"2020-05-17","40"
"2020-05-24","28"
"2020-05-31","19"
"2020-06-07","22"
"2020-06-14","23"
"2020-06-21","31"
"2020-06-28","31"
"2020-07-05","27"
"2020-07-12","29"
"2020-07-19","27"
"2020-07-26","28"
"2020-08-02","28"
"2020-08-09","24"
"2020-08-16","20"
"2020-08-23","23"
"2020-08-30","22"
"2020-09-06","18"
"2020-09-13","17"
"2020-09-20","24"
"2020-09-27","15"
